Currency,Rate (per USD)
Euro,0.859309
British Pound,0.744789
Indian Rupee,86.672195
Australian Dollar,1.532479
Canadian Dollar,1.372424
Singapore Dollar,1.285022
Swiss Franc,0.802062
Malaysian Ringgit,4.230161
Japanese Yen,148.138173
Chinese Yuan Renminbi,7.173968
Argentine Peso,1277.243967
Australian Dollar,1.532479
Bahraini Dinar,0.376
Botswana Pula,13.504649
Brazilian Real,5.591289
British Pound,0.744789
Bruneian Dollar,1.285022
Bulgarian Lev,1.680661
Canadian Dollar,1.372424
Chilean Peso,963.798536
Chinese Yuan Renminbi,7.173968
Colombian Peso,4153.2433
Czech Koruna,21.141115
Danish Krone,6.413289
Emirati Dirham,3.6725
Euro,0.859309
Hong Kong Dollar,7.849701
Hungarian Forint,341.847043
Icelandic Krona,122.197746
Indian Rupee,86.672195
Indonesian Rupiah,16381.36797
Iranian Rial,42081.87763
Israeli Shekel,3.351222
Japanese Yen,148.138173
Kazakhstani Tenge,542.695049
Kuwaiti Dinar,0.305286
Libyan Dinar,5.407405
Malaysian Ringgit,4.230161
Mauritian Rupee,45.339113
Mexican Peso,18.644378
Nepalese Rupee,138.740516
New Zealand Dollar,1.672522
Norwegian Krone,10.167337
Omani Rial,0.384752
Pakistani Rupee,283.130064
Philippine Peso,57.181476
Polish Zloty,3.660328
Qatari Riyal,3.64
Romanian New Leu,4.357218
Russian Ruble,80.357575
Saudi Arabian Riyal,3.75
Singapore Dollar,1.285022
South African Rand,17.849946
South Korean Won,1387.359984
Sri Lankan Rupee,301.829342
Swedish Krona,9.571753
Swiss Franc,0.802062
Taiwan New Dollar,29.623319
Thai Baht,32.408289
Trinidadian Dollar,6.79125
Turkish Lira,40.547311
